Natural Philosophy,Will,Science,Class2,Fly,Description,Ranged,Manipulation,Skills,UniqueMonster,subtype1,subtype5,Initiative,Type,Disable Device,id,Escape Artist,Swim,Occult,MR,Mythic,Class1,MT,Stealth,Bluff,Int,Politics,Knowledge (geography),subtype4,RacialMods,Str,Weaponry,Wis,AC_Flat-footed,Computer,Dexterity,subtype6,OtherGear,Appraise,Crafts,Willpower,Speed_Special,Climb,Class1_Lvl,Organization,Persuasion,Empathy,AC,Burrow_Speed,Base_Speed,Knowledge (history),Gear,Knowledge (nature),Profession,Larceny,Exoterica,Size,Armor,Linguistics,Heal,Knowledge (engineering),Speed_Land,Expression,subtype3,Animal Ken,Knowledge (planes),Sleight of Hand,Class2_Lvl,Knowledge (dungeoneering),Brawl,Fly_Speed,Melee,Drive,Wits,Perform,Alignment,Streetwise,Reach,Socialize,Knowledge (nobility),Name,Fort,Strength,Spellcraft,Athletics,Ride,CharacterFlag,Ref,subtype2,Integrity,Maneuverability,Composure,"Source
",Stamina,Intimidation,Medicine,Resolve,Feats,ClassArchetypes,Burrow,CR,Intelligence,Defense,Craft,AC_Touch,Dex,Health,Presence,Languages,Subterfuge,SQ,CofDRanged,Environment,VariantParent,Use Magic Device,Sense Motive,Handle Animal,Climb_Speed,AlternateNameForm,Treasure,Speed,Group,Investigation,Diplomacy,Academics,CofDMelee,Knowledge (arcana),Firearms,HP,Acrobatics,Disguise,XP,Knowledge (local),CompanionFlag,CompanionFamiliarLink,Space,Race,Survival,Intimidate,Con,Perception,Knowledge (religion),HD,Cha,Swim_Speed
0,5,0,,0,,light crossbow +0 (1d8/19-20),2,"Diplomacy +8, Heal +7, Knowledge (religion) +5",0,native,,4,outsider,0,20,0,0,0,0,0,cleric,0,0,0,13,0,0,,"+2 Diplomacy, +2 Perception",8,0,17,15,1,1,,,0,1,6,,0,1,"solitary, pair, or team (3-6)",1,0,15,,30,0,,0,0,0,1,5,4,0,1,0,1,2,,0,0,0,,0,0,(20 in armor),heavy mace -1 (1d8-1),0,3,0,NG,0,5,1,0,Aasimar,4,1,0,0,0,1,0,,8,,3,PFRPG Bestiary,2,0,1,3,Turn Undead,,0,0.50,1,3,0,10,10,7,2,"Celestial, Common, Draconic",0,,"[['light crossbow ', 2]]",any land,,0,0,0,,,"NPC gear (scale mail, heavy mace, light crossbow with 10 bolts, other treasure)",7,,0,1,0,"[['heavy mace ', 2]]",0,0,11,0,0,200,0,0,NULL,5,Aasimar,0,0,14,0,1,1d8+3,14,
0,8,0,,0,,,3,"Knowledge (arcana) +17, Knowledge (nature) +17, Perception +19, Spellcraft +17, Stealth +12 (+24 in water), Swim +16",0,aquatic,,5,magical beast,0,5134,0,1,1,0,0,,0,1,0,17,0,0,,+12 Stealth in water,26,1,14,22,3,3,,,0,3,4,,0,,solitary,0,0,25,,20,0,,1,0,0,0,20,4,0,0,0,1,3,,1,0,0,,0,1,,"bite +21 (3d6+8/19-20 plus grab), tail slap +15 (2d6+4 plus grab)",0,2,0,N,0,15,0,0,Abaia,14,8,1,0,0,0,12,,5,,2,PFRPG Bestiary 4,5,0,0,2,"Critical Focus, Improved Critical (bite), Iron Will, Power Attack, Staggering Critical, Vital Strike, Weapon Focus (bite)",,0,10,3,3,0,11,16,25,3,"Aquan, Sylvan; speak with animals",0,"eldritch gizzard, wave rider",,warm lakes,NULL,0,0,0,,,standard (particularly staves and wands),16,,0,0,0,"[['bite ', 5], [' tail slap ', 3]]",1,1,147,0,0,"9,600",0,0,NULL,15,,0,0,21,1,0,14d10+70,17,
1,5,1,,0,,spark +12 touch (2d6 electricity),1,"Acrobatics +12 (+16 when jumping), Climb +22, Knowledge (engineering) +13, Perception +10, Stealth +12",0,,,3,construct,0,2501,0,0,0,0,0,,0,1,0,17,0,0,,,19,0,10,18,3,2,,,0,3,2,,1,,"solitary, pair, or network (3-6)",0,0,20,,40,0,,0,0,0,0,5,4,0,0,1,1,1,,0,0,0,,0,0,,2 claws +15 (1d8+4/19-20 plus grab),0,1,0,N,0,5,0,0,Aballonian,3,4,0,1,0,0,7,,5,,1,Distant Worlds,1,0,0,1,"Improved Critical (claw), Iron Will, Lightning Reflexes, Power Attack, Weapon Focus (claw)",,0,7,3,3,0,12,14,6,1,Common; shortwave 100 ft.,0,rebuild,"[['spark ', 3]]",Aballon,,0,0,0,,,standard,11,,0,0,0,"[['2 claws ', 2]]",0,0,75,1,0,"3,200",0,0,NULL,5,,0,0,-,1,0,10d10+20,11,
0,13,0,,1,,,3,"Bluff +16, Diplomacy +16, Fly +22, Intimidate +16, Knowledge (arcana) +18, Knowledge (nobility) +18, Knowledge (planes) +18, Perception +17, Sense Motive +17, Spellcraft +15, Use Magic Device +13",0,air,,7,outsider,0,2623,0,0,1,0,0,,0,0,1,20,1,0,,,16,0,18,17,5,3,,,0,5,8,,0,,"solitary, pair, or company (2-5)",1,1,21,,20,0,masterwork falchion,0,0,0,0,8,4,0,0,0,1,3,,0,1,0,,0,0,,2 slams +12 (2d6+3) or masterwork falchion +13/+8 (2d6+3/18-20),0,4,0,N,0,10,1,1,Abasheen Genie,6,3,1,0,0,0,12,extraplanar,5,perfect,4,Tome of Horrors Complete,3,1,0,4,"Combat Casting, Dodge, Improved Initiative, Iron Will, Lightning Reflexes",,0,7,5,4,0,13,17,11,3,"Abyssal, Auran, Common, Celestial, Infernal; telepathy 100 ft.",1,,,any (Elemental Plane of Air),,1,1,0,,,standard,11,Genie,0,1,0,"[['2 slams ', 3]]",1,0,85,0,0,"3,200",0,0,NULL,10,,0,1,16,1,0,10d10+30,17,
0,4,0,,0,,,1,"Intimidate +11, Perception +9, Survival +9",0,giant,,3,humanoid,0,1840,0,0,0,0,0,,0,0,0,10,0,0,,"-2 penalty to Charisma-based skills per deformity, except +2 bonus to Intimidate checks per deformity",23,1,14,19,1,1,,,0,1,4,,0,,"solitary, gang (2-5), band (6-9 plus 35% noncombatants), hunting/raiding party (6-9), or tribe (21-30 plus 35% noncombatants plus 1-2 adepts, barbarians, clerics, or sorcerers of 3rd or 4th level)",0,0,19,,20,0,,0,0,0,0,8,4,0,0,0,1,1,,0,0,0,,0,1,,Huge greatclub +12/+7 (4d6+9),0,2,0,NE,0,10,0,0,Aberrant,9,6,0,0,0,1,1,,2,,2,Tome of Horrors Complete,3,1,0,2,"Cleave, Power Attack, Vital Strike, Weapon Focus (greatclub)",,0,5,1,2,0,8,8,11,1,"Common, Giant",0,"deformities, slow and steady",,temperate mountains and underground,,0,0,0,,,"standard (Huge-sized greatclub, hide armor, other treasure)",12,,0,0,0,"[['Huge greatclub ', 5]]",0,1,60,0,0,"1,600",0,0,NULL,10,,1,1,17,1,0,8d8+24,10,
0,11,0,,0,,,3,"Bluff +11, Intimidate +14, Knowledge (any one) +13, Perception +14, Spellcraft +13, Swim +24",0,aquatic,,4,aberration,0,21,0,1,0,0,0,,0,0,1,15,0,0,,,20,1,17,19,2,1,,,0,2,6,,0,,"solitary, pair, brood (3-6), or shoal (7-19)",0,0,20,,10,0,,0,0,0,0,20,4,0,0,0,1,3,,0,0,0,,0,1,,4 tentacles +10 (1d6+5 plus slime),0,3,0,LE,0,15,0,0,Aboleth,8,5,1,0,0,0,5,,3,,3,PFRPG Bestiary,6,1,0,3,"Improved Initiative, Iron Will, Lightning Reflexes, Weapon Focus (tentacle)",,0,7,2,3,0,9,12,26,3,"Aboleth, Aklo, Aquan, Undercommon",1,,,any aquatic,,0,0,0,,,double,11,,0,0,0,"[['4 tentacles ', 2]]",0,1,84,0,0,"3,200",0,0,NULL,15,,0,1,22,1,0,8d8+48,17,60
0,3,0,,0,,improvised weapon +5 (1d6+2),1,"Appraise +6, Climb +10, Disable Device +8, Perception +12",0,chaotic,,2,outsider,1,4665,0,0,0,0,0,,0,0,0,6,0,0,extraplanar,+4 Perception,15,1,10,15,1,1,,,1,1,2,,1,,"solitary, pair, or gang (3-12)",0,0,15,,30,0,,0,0,0,0,5,4,0,0,0,1,1,evil,0,0,0,,0,1,,"bite +7 (1d6+2 plus mutilation), 2 claws +7 (1d4+2)",0,1,0,CE,0,5,0,0,Abrikandilu,5,2,0,0,0,0,4,demon,1,,1,The Worldwound,1,0,0,1,"Improved Sunder, Iron Will, Power Attack, Throw AnythingB",,0,3,1,1,0,10,11,6,1,"Abyssal, Celestial, Draconic; telepathy 100 ft.",0,,"[['improvised weapon ', 2]]",any (Abyss),NULL,0,0,0,,,standard (all art objects are broken),8,Demon,1,0,0,"[['bite ', 2], [' 2 claws ', 1]]",0,1,32,0,0,800,0,0,NULL,5,,0,0,12,1,0,5d10+5,13,
0,10,0,,0,,rock +13 (4d6+19),2,"Climb +32, Intimidate +26, Knowledge (planes) +26, Perception +27, Sense Motive +24, Stealth +5, Survival +27",0,chaotic,,4,humanoid,0,970,0,0,0,0,0,,0,1,0,20,0,0,giant,,37,0,17,30,5,1,,,0,5,6,,1,,"solitary, pair, or gang (3-7)",0,1,31,,60,0,,0,0,0,0,40,4,0,0,0,1,2,extraplanar,0,1,0,,0,0,,"mwk adamantine warhammer +25/+20/+15 (4d6+19/19-20/x3), bite +19 (2d8+6 plus wrenching spasms)",0,3,0,CE,0,20,0,0,Abyss Gigas,21,13,0,0,0,0,8,evil,1,,3,The Witchwar Legacy,9,1,0,3,"Awesome Blow, Catch Off-Guard, Combat Reflexes, Greater Sunder, Improved Bull Rush, Improved Critical (warhammer), Improved Initiative, Improved Sunder, Power Attack, Stand Still, Throw Anything",,0,16,5,3,0,7,12,49,2,"Abyssal, Common, Giant",0,planar empowerment,"[['rock ', 5]]",any (Abyss),,0,1,0,(50 in armor),,"standard (adamantine full plate, adamantine warhammer, other treasure)",19,Abyss,0,0,0,"[['mwk adamantine warhammer ', 5], [' bite ', 5]]",0,0,283,0,0,"76,800",0,0,NULL,20,,1,1,28,1,0,21d8+189,15,
0,15,0,,0,,,1,"Intimidate +25, Knowledge (planes) +21, Perception +31, Sense Motive +5, Survival +27",0,chaotic,,4,aberration,0,1841,0,0,0,0,0,,0,0,0,10,0,0,,,41,0,16,28,1,1,,,0,1,6,,0,,solitary,0,1,28,,20,0,,0,0,0,0,40,4,0,0,0,1,1,extraplanar,0,1,0,,0,0,,6 tentacles +22 (4d6+15/19-20 plus grab),0,3,0,CE,0,20,0,0,Abyssal Harvester,16,15,0,0,0,0,9,evil,1,,3,Tome of Horrors Complete,9,1,0,3,"Alertness, Awesome Blow, Blind-Fight, Cleave, Improved Bull Rush, Improved Critical (tentacle), Improved Grapple, Improved Natural Attack (tentacle), Lightning Reflexes, Power Attack, Weapon Focus (tentacle)",,0,17,1,3,0,6,10,49,1,Abyssal,0,tentacle regeneration,,the Abyss,,0,1,0,,,standard,21,,0,0,0,"[['6 tentacles ', 5]]",0,0,283,0,0,"102,400",0,0,NULL,20,,1,1,29,1,0,21d8+189,13,
0,0,0,,0,,maggot spray +1 (sickened),1,"Perception +4, Stealth +4",0,chaotic,,2,outsider,0,1842,0,0,0,0,0,,0,1,0,3,0,0,,,10,0,10,14,1,1,,,0,1,2,,0,,"mob (4-7), brood (8-17)",0,0,14,,20,0,,0,0,0,0,5,4,0,0,0,1,1,,0,0,0,,0,0,,bite +1 (1d4 plus 1d4 acid),0,1,0,CE,0,5,0,0,Abyssal Larva,2,1,0,0,0,0,2,evil extraplanar,1,,1,Tome of Horrors Complete,1,0,0,1,Toughness,,0,1,1,1,0,10,10,6,1,,0,tortured mind,"[['maggot spray ', 5]]",the Abyss,,0,0,0,,,none,7,,0,0,0,"[['bite ', 1]]",0,0,8,0,0,400,0,0,NULL,5,,0,0,11,1,0,1d10+3,7,
